pair,design,observable,Nh,n,xmin,winner,w_PL,w_TPL,w_exp,w_logn,w_stexp,R_TPL_exp,p_TPL_exp,R_PL_exp,p_PL_exp,decades,alpha_TPL,alpha_PL,gap,PASS
bib-bib,ss,laminar,10,49226,2.0,truncated_power_law,0.0,1.0,0.0,9.840276374709048e-189,6.191993320794811e-126,86.88059456696125,0.0,75.33224775353655,0.0,3.169527489553293,1.319458857244541,1.4981161702540482,0.17865731300950727,True
bib-bib,sa,laminar,10,47933,3.0,truncated_power_law,0.0,1.0,0.0,1.5885651091524298e-171,4.41645815837974e-114,74.02036957348167,0.0,62.45484348229863,0.0,3.0788191830988487,1.3265921858660032,1.5269348017855333,0.20034261591953006,False
bo-bo,rs,laminar,10,182534,11.0,stretched_exponential,1.144972614599219e-119,8.236284715830372e-05,0.0,0.09712475404332051,0.9027928831095211,16.69169041811393,1.5064431254290494e-62,10.257145950832967,1.0990715362411352e-24,1.5185139398778875,2.1266772592569603,2.782218651639859,0.6555413923828985,False
bo-bo,ra,laminar,10,190948,10.0,lognormal,7.732669747822814e-138,1.190347680768817e-09,0.0,0.8277216383564404,0.17227836045321193,17.286441182372844,5.951504924420004e-67,10.945251841400903,7.002285865164076e-28,1.6334684555795864,2.191018502041838,2.8383505216476967,0.6473320196058587,False
bo-bo,ss,laminar,10,218465,7.0,truncated_power_law,0.0,0.9999986754915327,1.5397670338099308e-230,7.144320583577009e-25,1.3245084673869857e-06,14.971369205972627,1.1297122215189906e-50,-7.342482007459856,2.096687173615607e-13,1.1842857376709528,1.4351531176941639,2.912548828125,1.477395710430836,False
bo-bo,sa,laminar,10,230471,7.0,truncated_power_law,0.0,0.9999491374971275,1.747274828859992e-188,1.945140790085625e-27,5.0862502872338716e-05,13.5919444786709,4.470437507139524e-42,-13.789977790331012,2.9285007622829463e-43,1.089400411229311,1.2290258102391318,2.9016357421874996,1.6726099319483678,False
bo-bo,rs,argmax,3,142125,257.0,power_law,0.5800342232277373,0.21338189450392103,9.40624447937126e-292,0.20658331171994224,5.705483994827108e-07,5.695448838460159,1.230477806442937e-08,5.69545675557471,1.230420705254773e-08,2.0077212174746575,2.8050071932573815,2.8050276221420285,2.042888464703907e-05,True
bo-bo,ra,argmax,3,124068,259.0,power_law,0.5776407975795211,0.21250126965520372,1.7472700576935377e-283,0.20983069580371003,2.723696156496293e-05,5.621174048888316,1.8966407090686226e-08,5.621191541176577,1.8964486502836096e-08,1.997814654469653,2.7807486511796555,2.7807950848347893,4.643365513379294e-05,False
bo-bo,ss,argmax,3,74467,1.0,truncated_power_law,0.0,1.0,0.0,0.0,0.0,192.63067952212663,0.0,159.8919699977004,0.0,3.1956229435869368,1.226470413524366,1.3980248191370488,0.17155440561268276,True
bo-bo,sa,argmax,3,59027,1.0,truncated_power_law,0.0,1.0,0.0,0.0,0.0,166.6561483264954,0.0,133.80566758993905,0.0,3.3310221710418286,1.1835183595139158,1.3704995716410457,0.18698121212712993,True
